"latitude","longitude","acq_date","cluster"
-37.594978,149.329391,"1/1/2020",1
-37.602554,149.227142,"1/1/2020",1
-37.616531,149.035217,"1/1/2020",1
-37.685589,148.098373,"1/1/2020",1
-37.685352,148.102066,"1/1/2020",1
-37.650269,148.553299,"1/1/2020",1
-37.68058,148.094299,"1/1/2020",1
-37.668503,148.359253,"1/1/2020",1
-37.650345,148.627197,"1/1/2020",1
-37.655357,148.554077,"1/1/2020",1
-37.670986,148.321869,"1/1/2020",1
-37.621502,149.035782,"1/1/2020",1
-37.673664,148.359802,"1/1/2020",1
-37.674641,148.345184,"1/1/2020",1
-37.67123,148.3181,"1/1/2020",1
-37.609032,149.20665,"1/1/2020",1
-37.674393,148.348892,"1/1/2020",1
-37.674892,148.341415,"1/1/2020",1
-37.551495,149.385178,"1/1/2020",1
-37.675148,148.337616,"1/1/2020",1
-37.672493,148.299103,"1/1/2020",1
-37.680843,148.09024,"1/1/2020",1
-37.6754,148.333847,"1/1/2020",1
-37.688942,147.790512,"1/1/2020",1
-37.613956,149.207138,"1/1/2020",1
-37.627007,149.029022,"1/1/2020",1
-37.627522,149.021912,"1/1/2020",1
-37.680061,148.341965,"1/1/2020",1
-37.695389,148.110016,"1/1/2020",1
-37.679317,148.353027,"1/1/2020",1
-37.628017,149.01506,"1/1/2020",1
-37.67981,148.345718,"1/1/2020",1
-37.639072,148.931564,"1/1/2020",1
-37.679073,148.356689,"1/1/2020",1
-37.638062,148.945648,"1/1/2020",1
-37.679562,148.349426,"1/1/2020",1
-37.653721,148.797607,"1/1/2020",1
-37.680317,148.338181,"1/1/2020",1
-37.632538,148.952362,"1/1/2020",1
-37.637535,148.952927,"1/1/2020",1
-37.658768,148.797989,"1/1/2020",1
-37.659294,148.790665,"1/1/2020",1
-37.659821,148.783264,"1/1/2020",1
-37.658264,148.805054,"1/1/2020",1
-37.599049,149.227554,"1/1/2020",1
-37.611828,149.035355,"1/1/2020",1
-37.674816,148.570404,"1/1/2020",1
-37.641186,148.57399,"1/1/2020",1
-37.597008,149.330444,"1/1/2020",1
-37.616802,149.035889,"1/1/2020",1
-37.66666,148.325394,"1/1/2020",1
-37.591648,149.336746,"1/1/2020",1
-37.654766,148.782913,"1/1/2020",1
-37.63406,148.931229,"1/1/2020",1
-37.59211,149.330017,"1/1/2020",1
-37.680328,148.094009,"1/1/2020",1
